City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
385,Santa Ines,BR,73.53,overcast clouds,-3.6667,-45.38,Palace hotel
389,Riberalta,BO,73.85,broken clouds,-10.9833,-66.1,Hotel Colonial
391,Balikpapan,ID,85.19,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
393,Le Port,RE,75.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
394,Sabratah,LY,71.04,clear sky,32.7933,12.4885,شقق مفروش شمس الاصيل
399,Kismayo,SO,81.86,overcast clouds,-0.3582,42.5454,Agan-Hotel
400,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
401,Aquiraz,BR,82.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
403,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
404,Kokoda,PG,81.84,overcast clouds,-8.8785,147.7407,Daito Guest House
405,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
406,Oriximina,BR,74.68,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
407,Doka,SD,87.33,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
408,Manzanillo,CU,75.27,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
409,Sumbe,AO,74.46,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
411,Pontianak,ID,89.58,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
414,Idah,NG,73.08,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
417,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
418,Salina,US,75.33,few clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
420,Kirakira,SB,82.51,broken clouds,-10.4544,161.9205,SanBiz Lodge
425,Kupang,ID,82.92,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
