City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Bahia Blanca,AR,-38.7196,-62.2724,45.68,68,0,7.63,clear sky
185,Katsuura,JP,35.1333,140.3,63.55,73,100,18.03,overcast clouds
186,Pszczyna,PL,49.9804,18.9538,57.22,75,95,3.76,overcast clouds
187,New Norfolk,AU,-42.7826,147.0587,67.5,55,66,4.0,broken clouds
188,Kavieng,PG,-2.5744,150.7967,84.58,63,57,3.15,broken clouds
189,Aasiaat,GL,68.7098,-52.8699,11.55,96,28,3.76,scattered clouds
190,Pangnirtung,CA,66.1451,-65.7125,8.94,88,21,7.18,few clouds
191,Adrar,MR,20.5022,-10.0711,81.86,12,88,8.77,overcast clouds
192,Paripiranga,BR,-10.6875,-37.8617,67.93,94,99,3.11,overcast clouds
193,Penzance,GB,50.1186,-5.5371,54.28,91,99,10.11,overcast clouds
194,Ostrovnoy,RU,68.0531,39.5131,40.06,71,76,7.2,broken clouds
195,Ntcheu,MW,-14.8203,34.6359,58.08,74,0,3.24,clear sky
196,San Cristobal,VE,7.7669,-72.225,69.98,93,99,2.21,overcast clouds
197,Bilibino,RU,68.0546,166.4372,32.31,97,100,6.44,light snow
198,Luoyang,CN,34.6836,112.4536,79.79,15,100,5.93,overcast clouds
199,Alice Town,BS,25.7167,-79.3,79.48,76,2,9.24,clear sky
200,Astrea,CO,9.4983,-73.9759,75.06,95,88,1.48,overcast clouds
201,Tecoanapa,MX,16.5167,-98.75,82.49,72,100,6.76,overcast clouds
202,Mattru,SL,7.6244,-11.8332,73.92,97,98,0.09,overcast clouds
203,Kirksville,US,40.1948,-92.5833,70.05,68,0,4.0,clear sky
204,Mount Isa,AU,-20.7333,139.5,82.17,28,0,11.5,clear sky
205,Mangrol,IN,21.1167,70.1167,87.71,66,5,11.16,clear sky
206,Talara,PE,-4.5772,-81.2719,67.21,82,28,11.03,scattered clouds
207,Georgetown,MY,5.4112,100.3354,89.53,78,20,5.75,few clouds
208,Matara,LK,5.9485,80.5353,82.02,85,100,14.65,overcast clouds
209,Canico,PT,32.6333,-16.85,66.7,74,40,10.36,scattered clouds
210,Topchikha,RU,52.8192,83.1185,70.07,43,98,6.44,light rain
211,Sokolo,ML,14.7328,-6.1219,82.56,11,87,11.7,overcast clouds
212,Aklavik,CA,68.2191,-135.0107,29.07,79,96,2.06,overcast clouds
213,Myrtle Beach,US,33.6891,-78.8867,71.65,91,20,4.61,few clouds
214,Caucaia,BR,-3.7361,-38.6531,82.04,77,20,10.36,few clouds
215,Touros,BR,-5.1989,-35.4608,76.05,92,65,9.22,broken clouds
216,Castro,BR,-24.7911,-50.0119,55.67,98,100,3.18,overcast clouds
217,Kholtoson,RU,50.2981,103.3097,69.75,14,17,4.34,few clouds
218,Inta,RU,66.0317,60.1659,52.99,62,17,12.95,few clouds
219,Hualmay,PE,-11.0964,-77.6139,62.19,89,25,7.31,scattered clouds
220,Tignere,CM,7.3667,12.65,64.15,70,23,1.61,few clouds
221,Ilulissat,GL,69.2167,-51.1,2.98,86,18,8.37,few clouds
222,Flin Flon,CA,54.7682,-101.865,32.31,94,100,11.81,overcast clouds
223,Urucurituba,BR,-2.6833,-57.6667,73.67,99,100,2.19,overcast clouds
224,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,16.78,few clouds
225,Port-Gentil,GA,-0.7193,8.7815,80.11,86,100,10.92,moderate rain
226,Inuvik,CA,68.3499,-133.7218,29.16,77,100,10.36,overcast clouds
227,Luorong,CN,24.4058,109.6086,61.05,86,100,13.42,overcast clouds
228,Thompson,CA,55.7435,-97.8558,41.16,93,100,2.3,overcast clouds
229,Bahraich,IN,27.5833,81.6,103.1,25,0,10.38,clear sky
230,Port Hawkesbury,CA,45.6169,-61.3485,41.92,98,100,3.44,fog
231,Vardo,NO,70.3705,31.1107,39.18,93,100,2.3,overcast clouds
232,Sitka,US,57.0531,-135.33,48.09,71,100,6.91,overcast clouds
233,Fuyu,CN,45.1833,124.8167,68.4,24,55,15.88,broken clouds
234,Margate,GB,51.3813,1.3862,58.3,84,87,1.99,overcast clouds
235,Harper,LR,4.375,-7.7169,77.68,88,93,4.61,overcast clouds
236,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,76,68,18.7,light rain
237,Haines Junction,CA,60.7522,-137.5108,31.95,100,100,2.3,overcast clouds
238,Mana,GF,5.6592,-53.7767,77.14,91,100,6.91,overcast clouds
239,Ancud,CL,-41.8697,-73.8203,44.04,84,0,5.99,clear sky
240,Muscle Shoals,US,34.7448,-87.6675,70.75,86,0,0.0,clear sky
241,Kahului,US,20.8947,-156.47,80.62,70,40,12.66,scattered clouds
242,Porto Novo,BJ,6.4965,2.6036,80.42,85,49,4.05,scattered clouds
243,Makushino,RU,55.2103,67.2442,63.3,39,39,12.86,scattered clouds
244,Mount Gambier,AU,-37.8333,140.7667,60.01,82,48,18.66,scattered clouds
245,Mon,IN,26.75,95.1,73.0,94,98,1.86,overcast clouds
246,Kiama,AU,-34.6833,150.8667,72.0,91,94,5.99,light rain
247,Chato,TZ,-2.6378,31.7669,67.39,88,89,5.21,overcast clouds
248,Yar-Sale,RU,66.8333,70.8333,37.62,100,100,6.33,overcast clouds
249,La Palma,US,33.8464,-118.0467,84.81,44,0,4.61,clear sky
250,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,71,100,10.0,overcast clouds
251,Lebu,CL,-37.6167,-73.65,47.68,66,0,6.4,clear sky
252,Yulara,AU,-25.2406,130.9889,76.71,39,33,9.31,scattered clouds
253,The Valley,AI,18.217,-63.0578,78.1,77,66,19.57,broken clouds
254,Oussouye,SN,12.485,-16.5469,72.5,85,6,4.43,clear sky
255,Adre,TD,13.4667,22.2,76.71,64,92,7.76,overcast clouds
256,Thunder Bay,CA,48.4001,-89.3168,57.11,54,0,5.75,clear sky
257,Tasiilaq,GL,65.6145,-37.6368,26.76,70,100,4.97,overcast clouds
258,Chokurdakh,RU,70.6333,147.9167,22.82,83,100,3.69,overcast clouds
259,Pitea,SE,65.3172,21.4794,42.89,68,13,9.51,few clouds
260,Amapa,BR,1.0,-52.0,72.12,100,99,1.43,overcast clouds
261,Acapetahua,MX,15.2833,-92.7,78.19,76,18,3.65,few clouds
262,Santa Maria Del Oro,MX,25.9333,-105.3667,75.38,19,92,6.73,overcast clouds
263,Singkang,MY,2.1006,102.7994,91.31,57,21,5.12,few clouds
264,Esperance,AU,-33.8667,121.9,57.04,69,100,13.65,overcast clouds
265,Sur,OM,22.5667,59.5289,86.81,55,0,11.14,clear sky
266,Hambantota,LK,6.1241,81.1185,88.14,74,40,13.8,scattered clouds
267,Sulangan,PH,11.1373,123.7228,82.94,75,97,4.23,overcast clouds
268,Cherskiy,RU,68.75,161.3,28.36,74,96,15.46,overcast clouds
269,Sorong,ID,-0.8833,131.25,82.62,80,82,8.14,broken clouds
270,Marienburg,PL,54.0359,19.0266,47.88,80,44,10.0,scattered clouds
271,Torbay,CA,47.6666,-52.7314,31.75,93,20,5.75,few clouds
272,Kautokeino,NO,69.0125,23.0412,34.65,100,100,0.98,snow
273,Bougouni,ML,11.417,-7.479,81.7,30,20,4.56,few clouds
274,Iquitos,PE,-3.7481,-73.2472,75.24,100,0,2.3,light rain
275,Imeni Poliny Osipenko,RU,52.4201,136.4853,43.65,77,100,16.49,moderate rain
276,Lubango,AO,-14.9172,13.4925,58.78,42,11,4.41,few clouds
277,Tiksi,RU,71.6872,128.8694,20.89,86,35,8.01,scattered clouds
278,Barwala,IN,29.3833,75.9167,109.29,9,0,10.98,clear sky
279,Northam,GB,51.0333,-4.2167,53.62,95,100,11.1,overcast clouds
280,Kieta,PG,-6.2167,155.6333,83.3,74,70,2.57,broken clouds
281,Prabumulih,ID,-3.45,104.25,91.31,50,34,4.21,scattered clouds
282,Korla,CN,41.7597,86.1469,77.09,22,24,2.24,few clouds
283,Narsaq,GL,60.9167,-46.05,37.62,63,98,5.06,overcast clouds
284,Diego De Almagro,CL,-26.3667,-70.05,56.39,36,0,2.3,clear sky
